Start Date,Contract Description,Vendor Name,Amount,Contract No.,C.O. No.,Line No,SOA No.,Department,Contract Type,Community,Type,Fiscal Year
2020-08-18,develop processes, reports and data synchronization,MICHAEL NEAL,$24,530.00,HC0001420,Original,0,,Yukon Housing Corporation,IT System Development,Whitehorse,D,2020-21
2020-08-18,develop processes, reports and data synchronization,MICHAEL NEAL,$0.00,HC0001420,1,0,,Yukon Housing Corporation,IT System Development,Whitehorse,D,2020-21
2020-08-18,develop processes, reports and data synchronization,MICHAEL NEAL,$0.00,HC0001420,2,0,,Yukon Housing Corporation,IT System Development,Whitehorse,D,2020-21
2020-04-29,Datahase services,PORTFOLIO+ INC,$2,500.00,HC0001364,Original,0,,Yukon Housing Corporation,IT System Maintenance,Whitehorse,D,2020-21
2017-08-28,HP Laser Jet,TLE'NAX T'AWEI INC O/A,$2,649.99,HC0000732,Original,0,,Yukon Housing Corporation,IT System Development,Whitehorse,D,2017-18
2017-08-28,HP Laser Jet,TLE'NAX T'AWEI INC O/A,-$0.99,HC0000732,1,0,,Yukon Housing Corporation,IT System Development,Whitehorse,D,2017-18
2017-01-26,Social Housing Management System,YARDI CANADA LTD,$92,000.00,HC0000605,Original,0,,Yukon Housing Corporation,IT System Development,Whitehorse,P,2016-17
2017-01-26,Social Housing Management System,YARDI CANADA LTD,$150,000.00,HC0000605,1,0,,Yukon Housing Corporation,IT System Development,Whitehorse,P,2017-18
2017-01-26,Social Housing Management System,YARDI CANADA LTD,-$10,560.00,HC0000605,2,0,,Yukon Housing Corporation,IT System Development,Whitehorse,P,2020-21
2021-05-25,YHIS Site Wire and Mapping Module,ICE FOG ANALYTICS INC,$7,000.00,C00060149,Original,0,,Highways & Public Works,IT System Development,Whitehorse,D,2021-22
2021-05-17,E-Recruitment System,TELUS EMPLOYERS SOLUTIONS INC,$7,908.00,C00060039,Original,0,,Highways & Public Works,IT System Development,Whitehorse,D,2021-22
2021-05-17,COVID-19 self-isolation SMS notification Phase 2,ICE FOG ANALYTICS INC,$2,805.00,C00060034,Original,0,,Highways & Public Works,IT System Development,Whitehorse,D,2021-22
2021-05-14,Covid Border Services Support,PROOF DATA TECHNOLOGY INC,$50,000.00,C00060030,Original,0,,Highways & Public Works,IT System Development,Whitehorse,D,2021-22
2021-05-03,JEIN Development 2021-22,TECHKNOW SOFTWARE CORP,$30,000.00,C00060029,Original,0,,Justice,IT System Development,Whitehorse,D,2021-22
2021-05-03,JEIN Application Maintenance and Support 2021-22,TECHKNOW SOFTWARE CORP,$30,000.00,C00060028,Original,0,,Justice,IT System Development,Whitehorse,D,2021-22
2021-05-12,Digital Marketplace Enhancements,PROOF DATA TECHNOLOGY INC,$7,500.00,C00059975,Original,0,,Highways & Public Works,IT System Maintenance,Whitehorse,D,2021-22
2021-05-17,Wildlife Harvest Info Mgmt System (WHIMSY) Support,MICHAEL G TRIBES,$41,230.00,C00059970,Original,0,,Environment,IT System Maintenance,Whitehorse,D,2021-22
2021-04-01,EDFMS Maintenance Support,JAMES MALTBY O/A GRAYJAY,$15,000.00,C00059941,Original,0,,Economic Development,IT System Maintenance,Whitehorse,D,2021-22
2021-05-12,Get a COVID-19 test result service support and maintenance,BIZONT INC,$3,000.00,C00059892,Original,0,,Highways & Public Works,IT System Development,Whitehorse,O,2021-22
2021-05-10,Timber Harvest Reporting - Inception phase,MAKE IT INC,$19,800.00,C00059882,Original,0,,Highways & Public Works,IT System Development,Whitehorse,D,2021-22
